,accession,pheno,value
0,1_Col-0,DTF1,28
1,2_An-1,DTF1,42
2,3_C24,DTF1,32.667
3,4_Cvi,DTF1,61
4,5_Eri,DTF1,85
5,5__Gro-3,DTF1,137
6,5__Ler-0,DTF1,29
7,5__Sku-30,DTF1,102.33
8,6_Kyo,DTF1,40
9,6__Tsu-0,DTF1,28
10,7_Ler,DTF1,28.5
11,8_Sha,DTF1,27
12,8__Altai-5,DTF1,73
13,8__Kas-1,DTF1,69
14,1_Col-0,DTF3,38
15,2_An-1,DTF3,54.25
16,3_C24,DTF3,42.5
17,4_Cvi,DTF3,56
18,5_Eri,DTF3,42.75
19,5__Gro-3,DTF3,78
20,5__Ler-0,DTF3,40
21,5__Sku-30,DTF3,115.33
22,6_Kyo,DTF3,49.75
23,6__Tsu-0,DTF3,28
24,7_Ler,DTF3,40
25,8_Sha,DTF3,58.5
26,8__Altai-5,DTF3,73
27,8__Kas-1,DTF3,80
28,1_Col-0,Origin,United States
29,2_An-1,Origin,Belgium
30,3_C24,Origin,Portugal
31,4_Cvi,Origin,Cape Verde
32,5_Eri,Origin,Sweden
33,5__Gro-3,Origin,Sweden
34,5__Ler-0,Origin,Germany
35,5__Sku-30,Origin,Sweden
36,6_Kyo,Origin,Japan
37,6__Tsu-0,Origin,Japan
38,7_Ler,Origin,Germany
39,8_Sha,Origin,Tajikistan
40,8__Altai-5,Origin,China
41,8__Kas-1,Origin,India
42,1_Col-0,Group,Y
43,2_An-1,Group,Y
44,3_C24,Group,X
45,4_Cvi,Group,Y
46,5_Eri,Group,X
47,5__Gro-3,Group,X
48,5__Ler-0,Group,Y
49,5__Sku-30,Group,Y
50,6_Kyo,Group,X
51,6__Tsu-0,Group,X
52,7_Ler,Group,X
53,8_Sha,Group,X
54,8__Altai-5,Group,Y
55,8__Kas-1,Group,X
