pos,accession,base
746,8_Sha,A
746,Kas-1,A
746,7_Ler,G
966,Kas-1,C
966,7_Ler,G
966,8_Sha,C
966,5_Eri,C
1220,5_Eri,C
1220,8_Sha,C
1220,7_Ler,G
c2,4_Cvi,X
c2,1_Col-0,X
c2,Ler-0,X
c2,Sku-30,X
c2,Altai-5,X
c2,Kas-1,X
c2,Tsu-0,X
c2,Gro-3,X
c2,8_Sha,X
c2,2_An-1,X
c2,3_C24,X
c2,7_Ler,X
c2,5_Eri,X
c2,6_Kyo,X
2172,8_Sha,C
2172,5_Eri,C
2172,Kas-1,C
2172,7_Ler,G
2348,5_Eri,T
2348,7_Ler,A
2477,Altai-5,T
2477,Tsu-0,T
2477,Kas-1,T
2477,Gro-3,T
2477,4_Cvi,T
2477,3_C24,T
2477,7_Ler,C
2477,8_Sha,T
2477,5_Eri,T
2477,2_An-1,T
2771,4_Cvi,C
2771,7_Ler,G
c3,Sku-30,X
c3,Altai-5,X
c3,Kas-1,X
c3,Tsu-0,X
c3,Ler-0,X
c3,2_An-1,X
c3,Gro-3,X
c3,5_Eri,X
c3,6_Kyo,X
c3,3_C24,X
c3,7_Ler,X
c3,4_Cvi,X
c3,1_Col-0,X
c3,8_Sha,X
3217,5_Eri,C
3217,7_Ler,A
3217,8_Sha,C
3217,Kas-1,C
c4,Kas-1,X
c4,Tsu-0,X
c4,2_An-1,X
c4,8_Sha,X
c4,5_Eri,X
c4,6_Kyo,X
c4,3_C24,X
c4,7_Ler,X
c4,4_Cvi,X
c4,1_Col-0,X
c4,Altai-5,X
c4,Sku-30,X
c4,Ler-0,X
c4,Gro-3,X
3555,8_Sha,A
3555,7_Ler,G
3555,5_Eri,A
3559,7_Ler,A
3559,8_Sha,C
3559,5_Eri,C
3562,8_Sha,A
3562,5_Eri,A
3562,7_Ler,C
3598,7_Ler,A
3598,Tsu-0,T
3695,Tsu-0,T
3695,Sku-30,T
3695,7_Ler,G
3695,Altai-5,T
3695,Gro-3,T
3695,4_Cvi,T
3695,3_C24,T
3695,Kas-1,T
3695,5_Eri,T
3695,8_Sha,T
3695,2_An-1,T
3761,5_Eri,G
3761,Kas-1,G
3761,7_Ler,C
3761,8_Sha,G
3782,Kas-1,G
3782,7_Ler,C
3868,7_Ler,A
3868,5_Eri,C
3868,8_Sha,C
3891,7_Ler,C
3891,Kas-1,A
3891,5_Eri,A
3891,8_Sha,A
4013,2_An-1,G
4013,8_Sha,G
4013,5_Eri,G
4013,6_Kyo,G
4013,3_C24,G
4013,4_Cvi,G
4013,Sku-30,G
4013,1_Col-0,G
4013,Gro-3,G
4013,Kas-1,G
4013,Tsu-0,G
4013,Altai-5,G
4013,7_Ler,T
4047,7_Ler,A
4047,5_Eri,T
4062,Kas-1,T
4062,5_Eri,T
4062,8_Sha,T
4062,7_Ler,C
