pos,accession,base
746,Tsu-0,G
746,1_Col-0,G
746,2_An-1,G
746,5_Eri,G
746,3_C24,G
746,7_Ler,G
746,6_Kyo,G
746,Ler-0,G
746,Sku-30,G
746,Gro-3,G
746,8_Sha,A
746,4_Cvi,G
746,Altai-5,G
966,Ler-0,G
966,Altai-5,G
966,Tsu-0,G
966,Gro-3,G
966,Sku-30,G
966,1_Col-0,G
966,3_C24,G
966,8_Sha,C
966,4_Cvi,G
966,7_Ler,G
966,6_Kyo,G
966,2_An-1,G
1220,Altai-5,G
1220,Tsu-0,G
1220,Gro-3,G
1220,Sku-30,G
1220,Ler-0,G
1220,7_Ler,G
1220,3_C24,G
1220,6_Kyo,G
1220,2_An-1,G
1220,1_Col-0,G
1220,4_Cvi,G
1220,Kas-1,G
1220,8_Sha,C
c2,4_Cvi,X
c2,1_Col-0,X
c2,Ler-0,X
c2,Sku-30,X
c2,Altai-5,X
c2,Kas-1,X
c2,Tsu-0,X
c2,Gro-3,X
c2,8_Sha,X
c2,2_An-1,X
c2,3_C24,X
c2,7_Ler,X
c2,5_Eri,X
c2,6_Kyo,X
2172,2_An-1,G
2172,6_Kyo,G
2172,3_C24,G
2172,1_Col-0,G
2172,4_Cvi,G
2172,Ler-0,G
2172,Sku-30,G
2172,Gro-3,G
2172,Tsu-0,G
2172,Altai-5,G
2172,8_Sha,C
2172,7_Ler,G
2348,8_Sha,A
2348,5_Eri,T
2477,7_Ler,C
2477,8_Sha,T
2477,Sku-30,C
2477,1_Col-0,C
2477,Ler-0,C
2477,6_Kyo,C
2771,4_Cvi,C
2771,8_Sha,G
c3,Sku-30,X
c3,Altai-5,X
c3,Kas-1,X
c3,Tsu-0,X
c3,Ler-0,X
c3,2_An-1,X
c3,Gro-3,X
c3,5_Eri,X
c3,6_Kyo,X
c3,3_C24,X
c3,7_Ler,X
c3,4_Cvi,X
c3,1_Col-0,X
c3,8_Sha,X
3217,6_Kyo,A
3217,7_Ler,A
3217,3_C24,A
3217,1_Col-0,A
3217,4_Cvi,A
3217,8_Sha,C
3217,2_An-1,A
3217,Ler-0,A
3217,Gro-3,A
3217,Tsu-0,A
3217,Altai-5,A
3217,Sku-30,A
c4,Kas-1,X
c4,Tsu-0,X
c4,2_An-1,X
c4,8_Sha,X
c4,5_Eri,X
c4,6_Kyo,X
c4,3_C24,X
c4,7_Ler,X
c4,4_Cvi,X
c4,1_Col-0,X
c4,Altai-5,X
c4,Sku-30,X
c4,Ler-0,X
c4,Gro-3,X
3555,3_C24,G
3555,8_Sha,A
3555,7_Ler,G
3555,4_Cvi,G
3555,Ler-0,G
3555,Sku-30,G
3555,Gro-3,G
3555,Kas-1,G
3555,Tsu-0,G
3555,Altai-5,G
3555,6_Kyo,G
3555,2_An-1,G
3555,1_Col-0,G
3559,2_An-1,A
3559,8_Sha,C
3559,Altai-5,A
3559,Tsu-0,A
3559,Kas-1,A
3559,Gro-3,A
3559,Sku-30,A
3559,Ler-0,A
3559,4_Cvi,A
3559,7_Ler,A
3559,3_C24,A
3559,6_Kyo,A
3559,1_Col-0,A
3562,2_An-1,C
3562,6_Kyo,C
3562,3_C24,C
3562,7_Ler,C
3562,Ler-0,C
3562,Sku-30,C
3562,Gro-3,C
3562,Kas-1,C
3562,Tsu-0,C
3562,Altai-5,C
3562,8_Sha,A
3562,1_Col-0,C
3562,4_Cvi,C
3598,8_Sha,A
3598,Tsu-0,T
3695,8_Sha,T
3695,1_Col-0,G
3695,Ler-0,G
3695,7_Ler,G
3695,6_Kyo,G
3761,Ler-0,C
3761,Sku-30,C
3761,Gro-3,C
3761,6_Kyo,C
3761,Tsu-0,C
3761,Altai-5,C
3761,4_Cvi,C
3761,3_C24,C
3761,8_Sha,G
3761,2_An-1,C
3761,1_Col-0,C
3761,7_Ler,C
3868,8_Sha,C
3868,6_Kyo,A
3868,7_Ler,A
3868,Altai-5,A
3868,Tsu-0,A
3868,Kas-1,A
3868,Gro-3,A
3868,1_Col-0,A
3868,2_An-1,A
3868,3_C24,A
3868,Sku-30,A
3868,4_Cvi,A
3868,Ler-0,A
3891,8_Sha,A
3891,3_C24,C
3891,Altai-5,C
3891,Tsu-0,C
3891,Gro-3,C
3891,Sku-30,C
3891,7_Ler,C
3891,Ler-0,C
3891,4_Cvi,C
3891,6_Kyo,C
3891,2_An-1,C
3891,1_Col-0,C
4013,Ler-0,T
4013,7_Ler,T
4013,8_Sha,G
4047,8_Sha,A
4047,5_Eri,T
4062,1_Col-0,C
4062,Altai-5,C
4062,Tsu-0,C
4062,Sku-30,C
4062,Ler-0,C
4062,4_Cvi,C
4062,7_Ler,C
4062,3_C24,C
4062,6_Kyo,C
4062,2_An-1,C
4062,8_Sha,T
4062,Gro-3,C
