,accession,pheno,value
0,1_Col-0,DTF1,28
1,1__Altai-5,DTF1,42
2,1__Kas-1,DTF1,32.667
3,1__Tsu-0,DTF1,61
4,2_An-1,DTF1,85
5,3_C24,DTF1,137
6,5_Eri,DTF1,29
7,5__Gro-3,DTF1,102.33
8,5__Ler-0,DTF1,40
9,5__Sku-30,DTF1,28
10,7_Ler,DTF1,28.5
11,1_Col-0,DTF3,38
12,1__Altai-5,DTF3,54.25
13,1__Kas-1,DTF3,42.5
14,1__Tsu-0,DTF3,56
15,2_An-1,DTF3,42.75
16,3_C24,DTF3,78
17,5_Eri,DTF3,40
18,5__Gro-3,DTF3,115.33
19,5__Ler-0,DTF3,49.75
20,5__Sku-30,DTF3,28
21,7_Ler,DTF3,40
22,1_Col-0,Origin,United States
23,1__Altai-5,Origin,Belgium
24,1__Kas-1,Origin,Portugal
25,1__Tsu-0,Origin,Cape Verde
26,2_An-1,Origin,Sweden
27,3_C24,Origin,Sweden
28,5_Eri,Origin,Germany
29,5__Gro-3,Origin,Sweden
30,5__Ler-0,Origin,Japan
31,5__Sku-30,Origin,Japan
32,7_Ler,Origin,Germany
33,1_Col-0,Group,Y
34,1__Altai-5,Group,Y
35,1__Kas-1,Group,X
36,1__Tsu-0,Group,Y
37,2_An-1,Group,X
38,3_C24,Group,X
39,5_Eri,Group,Y
40,5__Gro-3,Group,Y
41,5__Ler-0,Group,X
42,5__Sku-30,Group,X
43,7_Ler,Group,X
