pos,accession,base
746,8_Sha,A
746,Kas-1,A
746,4_Cvi,G
966,Kas-1,C
966,4_Cvi,G
966,8_Sha,C
966,5_Eri,C
1220,5_Eri,C
1220,8_Sha,C
1220,4_Cvi,G
c2,4_Cvi,X
c2,1_Col-0,X
c2,Ler-0,X
c2,Sku-30,X
c2,Altai-5,X
c2,Kas-1,X
c2,Tsu-0,X
c2,Gro-3,X
c2,8_Sha,X
c2,2_An-1,X
c2,3_C24,X
c2,7_Ler,X
c2,5_Eri,X
c2,6_Kyo,X
2172,8_Sha,C
2172,5_Eri,C
2172,Kas-1,C
2172,4_Cvi,G
2348,5_Eri,T
2348,4_Cvi,A
2477,7_Ler,C
2477,6_Kyo,C
2477,4_Cvi,T
2477,Sku-30,C
2477,1_Col-0,C
2477,Ler-0,C
2771,Altai-5,G
2771,Tsu-0,G
2771,Kas-1,G
2771,Gro-3,G
2771,Ler-0,G
2771,7_Ler,G
2771,3_C24,G
2771,6_Kyo,G
2771,5_Eri,G
2771,8_Sha,G
2771,Sku-30,G
2771,1_Col-0,G
2771,2_An-1,G
2771,4_Cvi,C
c3,Sku-30,X
c3,Altai-5,X
c3,Kas-1,X
c3,Tsu-0,X
c3,Ler-0,X
c3,2_An-1,X
c3,Gro-3,X
c3,5_Eri,X
c3,6_Kyo,X
c3,3_C24,X
c3,7_Ler,X
c3,4_Cvi,X
c3,1_Col-0,X
c3,8_Sha,X
3217,5_Eri,C
3217,4_Cvi,A
3217,8_Sha,C
3217,Kas-1,C
c4,Kas-1,X
c4,Tsu-0,X
c4,2_An-1,X
c4,8_Sha,X
c4,5_Eri,X
c4,6_Kyo,X
c4,3_C24,X
c4,7_Ler,X
c4,4_Cvi,X
c4,1_Col-0,X
c4,Altai-5,X
c4,Sku-30,X
c4,Ler-0,X
c4,Gro-3,X
3555,8_Sha,A
3555,4_Cvi,G
3555,5_Eri,A
3559,4_Cvi,A
3559,8_Sha,C
3559,5_Eri,C
3562,8_Sha,A
3562,5_Eri,A
3562,4_Cvi,C
3598,4_Cvi,A
3598,Tsu-0,T
3695,4_Cvi,T
3695,6_Kyo,G
3695,1_Col-0,G
3695,Ler-0,G
3695,7_Ler,G
3761,5_Eri,G
3761,Kas-1,G
3761,4_Cvi,C
3761,8_Sha,G
3782,Kas-1,G
3782,4_Cvi,C
3868,4_Cvi,A
3868,5_Eri,C
3868,8_Sha,C
3891,4_Cvi,C
3891,Kas-1,A
3891,5_Eri,A
3891,8_Sha,A
4013,Ler-0,T
4013,7_Ler,T
4013,4_Cvi,G
4047,4_Cvi,A
4047,5_Eri,T
4062,Kas-1,T
4062,5_Eri,T
4062,8_Sha,T
4062,4_Cvi,C
