pos,accession,base
106,Tsu-0,G
106,Altai-5,A
441,Ler-0,G
441,1_Col-0,G
441,Gro-3,G
441,Kas-1,G
441,Altai-5,A
441,Tsu-0,G
441,Sku-30,G
527,Altai-5,C
527,Kas-1,G
555,Tsu-0,T
555,Altai-5,C
746,Kas-1,A
746,8_Sha,A
746,Altai-5,G
966,Kas-1,C
966,Altai-5,G
966,8_Sha,C
966,5_Eri,C
1220,5_Eri,C
1220,8_Sha,C
1220,Altai-5,G
c2,4_Cvi,X
c2,1_Col-0,X
c2,Ler-0,X
c2,Sku-30,X
c2,Altai-5,X
c2,Kas-1,X
c2,Tsu-0,X
c2,Gro-3,X
c2,8_Sha,X
c2,2_An-1,X
c2,3_C24,X
c2,7_Ler,X
c2,5_Eri,X
c2,6_Kyo,X
2172,8_Sha,C
2172,5_Eri,C
2172,Kas-1,C
2172,Altai-5,G
2348,5_Eri,T
2348,Altai-5,A
2477,Sku-30,C
2477,7_Ler,C
2477,6_Kyo,C
2477,Altai-5,T
2477,Ler-0,C
2477,1_Col-0,C
2771,4_Cvi,C
2771,Altai-5,G
c3,Sku-30,X
c3,Altai-5,X
c3,Kas-1,X
c3,Tsu-0,X
c3,Ler-0,X
c3,2_An-1,X
c3,Gro-3,X
c3,5_Eri,X
c3,6_Kyo,X
c3,3_C24,X
c3,7_Ler,X
c3,4_Cvi,X
c3,1_Col-0,X
c3,8_Sha,X
3217,5_Eri,C
3217,Altai-5,A
3217,8_Sha,C
3217,Kas-1,C
c4,Kas-1,X
c4,Tsu-0,X
c4,2_An-1,X
c4,8_Sha,X
c4,5_Eri,X
c4,6_Kyo,X
c4,3_C24,X
c4,7_Ler,X
c4,4_Cvi,X
c4,1_Col-0,X
c4,Altai-5,X
c4,Sku-30,X
c4,Ler-0,X
c4,Gro-3,X
3555,8_Sha,A
3555,Altai-5,G
3555,5_Eri,A
3559,Altai-5,A
3559,8_Sha,C
3559,5_Eri,C
3562,8_Sha,A
3562,5_Eri,A
3562,Altai-5,C
3598,Altai-5,A
3598,Tsu-0,T
3695,Ler-0,G
3695,Altai-5,T
3695,6_Kyo,G
3695,1_Col-0,G
3695,7_Ler,G
3761,5_Eri,G
3761,Kas-1,G
3761,Altai-5,C
3761,8_Sha,G
3782,Kas-1,G
3782,Altai-5,C
3868,Altai-5,A
3868,5_Eri,C
3868,8_Sha,C
3891,Altai-5,C
3891,Kas-1,A
3891,5_Eri,A
3891,8_Sha,A
4013,7_Ler,T
4013,Ler-0,T
4013,Altai-5,G
4047,Altai-5,A
4047,5_Eri,T
4062,Kas-1,T
4062,5_Eri,T
4062,8_Sha,T
4062,Altai-5,C
4258,Altai-5,C
4258,Sku-30,T
4311,Gro-3,T
4311,Sku-30,T
4311,Altai-5,A
